School Name TDSB 		LC	LN	HEPA Filters	School.NameON	Board.Name	School Number	City	Street	Lat	Long	MM	match
Harbord Collegiate Institute	all mechanical	4	21	No	Harbord Collegiate Institute	Toronto DSB	915688	Toronto	286 Harbord St	43.6614671	-79.41437383	2	TRUE
Harbord Collegiate Institute	all mechanical	4	21	No	Oakwood Collegiate Institute	Toronto DSB	932191	Toronto	991 St Clair Ave W	43.67835635	-79.4366979	2	FALSE
Jarvis Collegiate Institute	all mechanical	4	22	No	Jarvis Collegiate Institute	Toronto DSB	918547	Toronto	495 Jarvis St	43.66596955	-79.37687299	2	TRUE
Lord Lansdowne Junior Public School	all mechanical	4	22	No	Lord Lansdowne Junior Public School	Toronto DSB	308560	Toronto	33 Robert St	43.6590505	-79.4018825	2	TRUE
Montrose Junior Public School	all mechanical	4	21	No	Montrose Junior Public School	Toronto DSB	371351	Toronto	301 Montrose Ave	43.6586213	-79.41874399	2	TRUE
Orde Street Public School	partial mechanical	4	22	Yes	Orde Street Public School	Toronto DSB	419710	Toronto	18 Orde St	43.6585407	-79.39205485	2	TRUE
Whitney Junior Public School	all mechanical	4	22	No	Whitney Junior Public School	Toronto DSB	605611	Toronto	119 Rosedale Heights Dr	43.6871315	-79.37790594	2	TRUE
Bedford Park Public School	no mechanical	1	6	Yes	Bedford Park Public School	Toronto DSB	39594	Toronto	81 Ranleigh Ave	43.72750295	-79.40006147	2	TRUE
Blythwood Junior Public School	partial mechanical	1	6	Yes	Blythwood Junior Public School	Toronto DSB	55328	Toronto	2 Strathgowan Cres	43.71989505	-79.38993493	2	TRUE
Denlow Public School	all mechanical	1	6	No	Denlow Public School	Toronto DSB	137030	Toronto	50 Denlow Blvd	43.7463411	-79.36406824	2	TRUE
Dunlace Public School	partial mechanical	1	6	Yes	Dunlace Public School	Toronto DSB	153478	Toronto	20 Dunlace Dr	43.7627524	-79.36989845	2	TRUE
Fraser Mustard Early Learning Academy	all mechanical	1	5	No	Fraser Mustard Early Learning Academy	Toronto DSB	511195	Toronto	82 Thorncliffe Park Drive	43.7054917	-79.3435246	2	TRUE
Harrison Public School	no mechanical	1	6	Yes	Harrison Public School	Toronto DSB	245380	Toronto	81 Harrison Rd	43.75765815	-79.37656561	2	TRUE
Hodgson Middle School	all mechanical	1	5	No	Hodgson Middle School	Toronto DSB	261246	Toronto	282 Davisville Ave	43.70125715	-79.38500243	2	TRUE
Leaside High School	all mechanical	1	5	No	Leaside High School	Toronto DSB	922315	Toronto	200 Hanna Rd	43.7113032	-79.37304583	2	TRUE
Northern Secondary School	all mechanical	1	6	No	Northern Secondary School	Toronto DSB	930768	Toronto	851 Mount Pleasant Rd	43.7106627	-79.38961605	2	TRUE
Owen Public School	all mechanical	1	6	No	Owen Public School	Toronto DSB	429333	Toronto	111 Owen Blvd	43.7489227	-79.39261806	2	TRUE
Park Lane Public School*	all mechanical	1	6	No	Park Lane Public School	Toronto DSB	431656	Toronto	60 Park Lane Cir	43.728931	-79.36631629	2	FALSE
Rippleton Public School	partial mechanical	1	6	Yes	Rippleton Public School	Toronto DSB	485101	Toronto	21 Rippleton Rd	43.74108665	-79.35900261	2	TRUE
St. Andrew's Middle School	partial mechanical	1	6	Yes	St Andrew's Middle School	Toronto DSB	529176	Toronto	131 Fenn Ave	43.75155645	-79.3891193	2	FALSE
Avondale Secondary Alternative  School	no mechanical	5	30	Yes	Avondale Secondary Alternative School	Toronto DSB	890120	Toronto	24 Silverview Dr Dr	43.7867033	-79.41174592	2	FALSE
Cameron Public School	partial mechanical	2	8	Yes	Cameron Public School	Toronto DSB	80020	Toronto	211 Cameron Ave	43.7545083	-79.42144851	2	TRUE
Churchill Public School	all mechanical	2	8	No	Churchill Public School	Toronto DSB	107328	Toronto	188 Churchill Ave	43.7710081	-79.42655531	2	TRUE
Claude Watson School for Arts	all mechanical	2	12	No	Claude Watson School for the Arts	Toronto DSB	84352	Toronto	130 Doris Avenue	43.7657716	-79.40940256	2	FALSE
Cummer Valley Middle School	all mechanical	2	12	No	Cummer Valley Middle School	Toronto DSB	411264	Toronto	70 Maxome Ave	43.7877329	-79.4016007	2	TRUE
Earl Haig Secondary School	partial mechanical	2	12	Yes	Earl Haig Secondary School	Toronto DSB	906450	Toronto	100 Princess Ave	43.76983925	-79.40642401	2	TRUE
